in s,C1 in V
-5.9939984E-02,-1.78711E-03
-5.9939056E-02,-1.59180E-03
-5.9938128E-02,-1.59180E-03
-5.9937200E-02,-1.78711E-03
-5.9936272E-02,-1.39648E-03
-5.9935344E-02,-1.59180E-03
-5.9934416E-02,-1.68945E-03
-5.9933488E-02,-1.59180E-03
-5.9932560E-02,-1.49414E-03
-5.9931632E-02,-1.68945E-03
-5.9930704E-02,-1.59180E-03
-5.9929776E-02,-1.49414E-03
-5.9928848E-02,-1.59180E-03
-5.9927920E-02,-1.49414E-03
-5.9926992E-02,-1.39648E-03
-5.9926064E-02,-1.39648E-03
-5.9925136E-02,-1.10352E-03
-5.9924208E-02,-1.10352E-03
-5.9923280E-02,-1.98242E-03
-5.9922352E-02,-1.88477E-03
-5.9921424E-02,-1.49414E-03
-5.9920496E-02,-1.59180E-03
-5.9919568E-02,-1.59180E-03
-5.9918640E-02,-1.20117E-03
-5.9917712E-02,-1.49414E-03
-5.9916784E-02,-1.59180E-03
-5.9915856E-02,-1.39648E-03
-5.9914928E-02,-1.20117E-03
-5.9914000E-02,-1.39648E-03
-5.9913072E-02,-1.68945E-03
-5.9912144E-02,-1.59180E-03
-5.9911216E-02,-1.39648E-03
-5.9910288E-02,-1.68945E-03
-5.9909360E-02,-1.49414E-03
-5.9908432E-02,-1.49414E-03
-5.9907504E-02,-1.78711E-03
-5.9906576E-02,-1.29883E-03
-5.9905648E-02,-1.59180E-03
-5.9904720E-02,-1.49414E-03
-5.9903792E-02,-1.29883E-03
-5.9902864E-02,-1.68945E-03
-5.9901936E-02,-1.68945E-03
-5.9901008E-02,-1.49414E-03
-5.9900080E-02,-1.59180E-03
-5.9899152E-02,-1.78711E-03
-5.9898224E-02,-1.10352E-03
-5.9897296E-02,-1.29883E-03
-5.9896368E-02,-1.88477E-03
-5.9895440E-02,-1.20117E-03
-5.9894512E-02,-1.49414E-03
-5.9893584E-02,-1.39648E-03
-5.9892656E-02,-1.59180E-03
-5.9891728E-02,-1.39648E-03
-5.9890800E-02,-1.49414E-03
-5.9889872E-02,-1.29883E-03
-5.9888944E-02,-1.68945E-03
-5.9888016E-02,-1.68945E-03
-5.9887088E-02,-1.98242E-03
-5.9886160E-02,-1.39648E-03
-5.9885232E-02,-1.29883E-03
-5.9884304E-02,-1.49414E-03
-5.9883376E-02,-1.59180E-03
-5.9882448E-02,-1.59180E-03
-5.9881520E-02,-1.59180E-03
-5.9880592E-02,-1.49414E-03
-5.9879664E-02,-1.39648E-03
-5.9878736E-02,-1.78711E-03
-5.9877808E-02,-1.88477E-03
-5.9876880E-02,-1.78711E-03
-5.9875952E-02,-1.78711E-03
-5.9875024E-02,-1.39648E-03
-5.9874096E-02,-1.49414E-03
-5.9873168E-02,-1.49414E-03
-5.9872240E-02,-1.78711E-03
-5.9871312E-02,-1.59180E-03
-5.9870384E-02,-1.59180E-03
-5.9869456E-02,-1.88477E-03
-5.9868528E-02,-1.49414E-03
-5.9867600E-02,-1.49414E-03
-5.9866672E-02,-1.68945E-03
-5.9865744E-02,-1.49414E-03
-5.9864816E-02,-1.59180E-03
-5.9863888E-02,-1.59180E-03
-5.9862960E-02,-1.49414E-03
-5.9862032E-02,-1.68945E-03
-5.9861104E-02,-1.59180E-03
-5.9860176E-02,-1.39648E-03
-5.9859248E-02,-1.78711E-03
-5.9858320E-02,-1.59180E-03
-5.9857392E-02,-1.88477E-03
-5.9856464E-02,-1.88477E-03
-5.9855536E-02,-1.68945E-03
-5.9854608E-02,-1.29883E-03
-5.9853680E-02,-1.39648E-03
-5.9852752E-02,-1.68945E-03
-5.9851824E-02,-1.49414E-03
-5.9850896E-02,-1.68945E-03
-5.9849968E-02,-1.78711E-03
-5.9849040E-02,-1.78711E-03
-5.9848112E-02,-1.39648E-03
-5.9847184E-02,-1.68945E-03
-5.9846256E-02,-1.49414E-03
-5.9845328E-02,-1.39648E-03
-5.9844400E-02,-1.68945E-03
-5.9843472E-02,-1.49414E-03
-5.9842544E-02,-1.68945E-03
-5.9841616E-02,-1.59180E-03
-5.9840688E-02,-1.49414E-03
-5.9839760E-02,-1.59180E-03
-5.9838832E-02,-1.49414E-03
-5.9837904E-02,-1.59180E-03
-5.9836976E-02,-2.08008E-03
-5.9836048E-02,-1.49414E-03
-5.9835120E-02,-1.59180E-03
-5.9834192E-02,-1.68945E-03
-5.9833264E-02,-1.68945E-03
-5.9832336E-02,-1.59180E-03
-5.9831408E-02,-1.78711E-03
-5.9830480E-02,-1.59180E-03
-5.9829552E-02,-1.88477E-03
-5.9828624E-02,-1.49414E-03
-5.9827696E-02,-1.78711E-03
-5.9826768E-02,-1.49414E-03
-5.9825840E-02,-1.88477E-03
-5.9824912E-02,-1.59180E-03
