"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.265427050E-1,-9.497375488E-1,-1.082061768E0,-3.483581543E-2,1.440164093E0
2.290146290E-1,-9.390869141E-1,-1.107635498E0,-5.720520020E-2,1.453276665E0
2.315170710E-1,-9.199218750E-1,-1.133193970E0,-8.383178711E-2,1.461989260E0
2.339889940E-1,-8.986053467E-1,-1.155563354E0,-1.136627197E-1,1.468242980E0
2.364914360E-1,-8.783721924E-1,-1.175811768E0,-1.445617676E-1,1.474777653E0
2.389633600E-1,-8.538665771E-1,-1.190719604E0,-1.701202393E-1,1.475073627E0
2.414658010E-1,-8.304290771E-1,-1.198181152E0,-1.978149414E-1,1.471183631E0
2.439377250E-1,-8.006134033E-1,-1.200302124E0,-2.287139893E-1,1.460827539E0
2.464401660E-1,-7.675781250E-1,-1.196044922E0,-2.595977783E-1,1.444676656E0
2.489426080E-1,-7.366943359E-1,-1.186462402E0,-2.830352783E-1,1.424963349E0
2.514450490E-1,-6.994018555E-1,-1.174743652E0,-3.086090088E-1,1.401579511E0
2.539169730E-1,-6.631927490E-1,-1.160888672E0,-3.277740479E-1,1.376562006E0
2.563888970E-1,-6.280364990E-1,-1.144912720E0,-3.480224609E-1,1.351434280E0
2.588913380E-1,-5.918121338E-1,-1.126800537E0,-3.618621826E-1,1.323202664E0
2.613632620E-1,-5.534667969E-1,-1.109756470E0,-3.672027588E-1,1.293337846E0
2.638657030E-1,-5.140533447E-1,-1.095916748E0,-3.703918457E-1,1.265888810E0
2.663681450E-1,-4.778289795E-1,-1.082061768E0,-3.629302979E-1,1.237294065E0
2.688400690E-1,-4.405517578E-1,-1.065017700E0,-3.501586914E-1,1.204557870E0
2.713425100E-1,-4.064636230E-1,-1.047973633E0,-3.320465088E-1,1.172056439E0
2.738144340E-1,-3.766326904E-1,-1.025604248E0,-3.128662109E-1,1.136486482E0
2.763168750E-1,-3.468017578E-1,-1.004302979E0,-2.841033936E-1,1.099823018E0
2.787887990E-1,-3.180389404E-1,-9.766082764E-1,-2.564086914E-1,1.058611312E0
2.812912410E-1,-2.956695557E-1,-9.414520264E-1,-2.244567871E-1,1.011994690E0
2.837631640E-1,-2.786254883E-1,-9.084320068E-1,-1.882324219E-1,9.686652251E-1
2.862656060E-1,-2.626495361E-1,-8.690185547E-1,-1.488189697E-1,9.199592996E-1
2.887375300E-1,-2.509307861E-1,-8.296051025E-1,-1.083374023E-1,8.734688766E-1
2.912399710E-1,-2.456054688E-1,-7.859191895E-1,-7.104492188E-2,8.264613721E-1
2.937424120E-1,-2.445373535E-1,-7.379913330E-1,-3.695678711E-2,7.783286767E-1
2.962143360E-1,-2.445373535E-1,-6.857910156E-1,-5.004882812E-3,7.281022478E-1
2.987167780E-1,-2.509307861E-1,-6.208038330E-1,1.843261719E-2,6.698532824E-1
3.011887010E-1,-2.573242188E-1,-5.483703613E-1,4.399108887E-2,6.073392978E-1
3.036911430E-1,-2.658386230E-1,-4.705963135E-1,6.530761719E-2,5.444227664E-1
3.061630670E-1,-2.786254883E-1,-3.885803223E-1,7.914733887E-2,4.846556827E-1
3.086655080E-1,-2.946014404E-1,-3.012237549E-1,9.193420410E-2,4.312512691E-1
3.111679500E-1,-3.105926514E-1,-2.202606201E-1,1.068420410E-1,3.954715636E-1
3.136398730E-1,-3.276367188E-1,-1.435699463E-1,1.196289062E-1,3.771859278E-1
3.161423150E-1,-3.457336426E-1,-7.646179199E-2,1.302795410E-1,3.772942036E-1
3.186142390E-1,-3.702392578E-1,-2.000427246E-2,1.398773193E-1,3.962864411E-1
3.211166800E-1,-3.958129883E-1,2.580261230E-2,1.515808105E-1,4.246297665E-1
3.235886040E-1,-4.149780273E-1,5.456542969E-2,1.675720215E-1,4.508486794E-1
3.260910450E-1,-4.394836426E-1,7.588195801E-2,1.782226562E-1,4.802783139E-1
3.285629690E-1,-4.597167969E-1,8.653259277E-2,1.878051758E-1,5.040815480E-1
3.310654100E-1,-4.810333252E-1,8.653259277E-2,1.973876953E-1,5.271080077E-1
3.335678520E-1,-5.034027100E-1,7.588195801E-2,2.080535889E-1,5.499624131E-1
3.360397760E-1,-5.183105469E-1,5.989074707E-2,2.154998779E-1,5.645112240E-1
3.385422170E-1,-5.321655273E-1,3.858947754E-2,2.154998779E-1,5.754385229E-1
3.410141410E-1,-5.417480469E-1,1.089477539E-2,2.176361084E-1,5.839307477E-1
3.435165820E-1,-5.502777100E-1,-2.319335938E-2,2.187042236E-1,5.926002256E-1
3.459885060E-1,-5.523986816E-1,-5.834960938E-2,2.123107910E-1,5.946636464E-1
3.484909480E-1,-5.534667969E-1,-9.030151367E-2,2.091064453E-1,5.985026016E-1
3.509933890E-1,-5.492095947E-1,-1.212005615E-1,2.080535889E-1,5.996724530E-1
3.534958300E-1,-5.428161621E-1,-1.478271484E-1,1.995239258E-1,5.969187957E-1
3.559677540E-1,-5.310974121E-1,-1.691284180E-1,1.899414062E-1,5.888519514E-1
3.584396780E-1,-5.161895752E-1,-1.883087158E-1,1.846160889E-1,5.796507140E-1
3.609421190E-1,-4.970092773E-1,-2.042846680E-1,1.739654541E-1,5.648136211E-1
3.634140430E-1,-4.757080078E-1,-2.170715332E-1,1.665039062E-1,5.487638017E-1
3.659164850E-1,-4.533386230E-1,-2.277221680E-1,1.558532715E-1,5.307198274E-1
3.684189260E-1,-4.299011230E-1,-2.458343506E-1,1.483917236E-1,5.169812445E-1
3.708908500E-1,-4.022064209E-1,-2.596740723E-1,1.388092041E-1,4.984662716E-1
3.733627740E-1,-3.766326904E-1,-2.735290527E-1,1.334838867E-1,4.842398932E-1
3.758652150E-1,-3.500061035E-1,-2.905731201E-1,1.260223389E-1,4.720366940E-1
3.783676570E-1,-3.255004883E-1,-3.108215332E-1,1.185607910E-1,4.654215880E-1
3.808395800E-1,-3.009948730E-1,-3.299865723E-1,1.132354736E-1,4.607725295E-1
3.833420220E-1,-2.765045166E-1,-3.491668701E-1,1.057891846E-1,4.577811731E-1
3.858139460E-1,-2.551879883E-1,-3.704681396E-1,1.015167236E-1,4.611650432E-1
3.883163870E-1,-2.349548340E-1,-3.864440918E-1,9.512329102E-2,4.621593346E-1
3.908188280E-1,-2.179107666E-1,-4.013671875E-1,9.086608887E-2,4.656579941E-1
3.932907520E-1,-2.072601318E-1,-4.120178223E-1,8.447265625E-2,4.688827975E-1
3.957626760E-1,-1.966094971E-1,-4.205322266E-1,8.128356934E-2,4.712851224E-1
3.982346000E-1,-1.880798340E-1,-4.226684570E-1,7.168579102E-2,4.681468799E-1
4.007370410E-1,-1.752929688E-1,-4.237365723E-1,6.849670410E-2,4.636508450E-1
4.032394830E-1,-1.688995361E-1,-4.205322266E-1,6.742858887E-2,4.581713888E-1
4.057419240E-1,-1.667785645E-1,-4.098815918E-1,5.891418457E-2,4.464178424E-1
4.082443660E-1,-1.699676514E-1,-3.970947266E-1,5.252075195E-2,4.351225733E-1
4.107468070E-1,-1.657104492E-1,-3.800506592E-1,4.293823242E-2,4.168238817E-1
4.132187310E-1,-1.571807861E-1,-3.630065918E-1,2.589416504E-2,3.964216102E-1
4.157211720E-1,-1.475982666E-1,-3.502349854E-1,1.388549805E-3,3.800680483E-1
4.182236140E-1,-1.337585449E-1,-3.438415527E-1,-2.311706543E-2,3.696657415E-1
4.206955370E-1,-1.145782471E-1,-3.374481201E-1,-4.122924805E-2,3.587467900E-1
4.231979790E-1,-9.753417969E-2,-3.342437744E-1,-6.253051758E-2,3.537539859E-1
4.256699030E-1,-7.942199707E-2,-3.331909180E-1,-7.957458496E-2,3.516477726E-1
4.281723440E-1,-6.877136230E-2,-3.353118896E-1,-9.129333496E-2,3.542570206E-1
4.306747850E-1,-5.491638184E-2,-3.374481201E-1,-9.768676758E-2,3.555696097E-1
4.331467090E-1,-4.319763184E-2,-3.417053223E-1,-1.030120850E-1,3.594997250E-1
4.356186330E-1,-3.468322754E-2,-3.438415527E-1,-1.019439697E-1,3.603089128E-1
4.381210750E-1,-2.935791016E-2,-3.406372070E-1,-9.875488281E-2,3.558765524E-1
4.406235160E-1,-2.722167969E-2,-3.363800049E-1,-9.342956543E-2,3.501736872E-1
4.430954400E-1,-2.403259277E-2,-3.289184570E-1,-7.638549805E-2,3.385257172E-1
4.455673640E-1,-1.977539062E-2,-3.204040527E-1,-6.253051758E-2,3.270472270E-1
